top - 17:31:51 up  3:08,  3 users,  load average: 0.07, 0.14, 0.81
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.4 total,  13390.3 free,    940.4 used,    787.5 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13793.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    177 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/129+
    178 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/130+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root      20   0       0      0      0 S   0.0   0.0   0:00.22 hwrng
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    574 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    575 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    576 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    577 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    578 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    579 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    580 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    581 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    582 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    583 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    584 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    585 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    586 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    587 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    588 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    589 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    601 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    602 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    603 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    604 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    684 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    719 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
    726 root      20   0       0      0      0 S   0.0   0.0   0:00.10 jbd2/dm+
    727 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    980 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker+
   1014 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1020 root      19  -1   66428  32140  30720 S   0.0   0.2   0:00.19 systemd+
   1025 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
   1037 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1038 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1058 root     -11   0  279456   9612   7540 S   0.0   0.1   0:00.71 multipa+
   1063 systemd+  20   0   22880  14372  11784 S   0.0   0.1   0:00.06 systemd+
   1064 systemd+  20   0   90628   8308   7184 S   0.0   0.1   0:00.07 systemd+
   1066 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker+
   1072 root       0 -20       0      0      0 I   0.0   0.0   0:00.57 kworker+
   1075 root      20   0   40920  14872   9160 S   0.0   0.1   0:00.17 systemd+
   1084 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1087 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
   1088 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
   1190 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
   1191 root       0 -20       0      0      0 I   0.0   0.0   0:00.68 kworker+
   1193 root       0 -20       0      0      0 I   0.0   0.0   0:00.62 kworker+
   1276 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/167+
   1348 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1511 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1513 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1516 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1517 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
   1518 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1519 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1520 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1521 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-c+
   1523 root      20   0       0      0      0 S   0.0   0.0   0:02.53 napi/ph+
   1524 root      20   0       0      0      0 S   0.0   0.0   0:00.58 napi/ph+
   1525 root      20   0       0      0      0 S   0.0   0.0   0:01.30 napi/ph+
   1526 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
   1538 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
   1539 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
