top - 16:54:17 up 15 min,  1 user,  load average: 0.07, 0.10, 0.04
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.7 total,  13407.8 free,    937.2 used,    788.2 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13797.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    153 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    154 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
    155 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    157 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    165 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    168 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    170 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    171 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    172 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    174 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    175 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    176 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
    177 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127+
    178 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/128+
    179 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/129+
    180 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/130+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.01 hwrng
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
    190 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    191 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    192 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker+
    205 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    213 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    302 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    306 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    316 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    320 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    433 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    443 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
    461 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
    559 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    583 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    584 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    585 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    586 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    587 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    588 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    589 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    590 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    591 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    592 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    593 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    594 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    595 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    596 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    598 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
