USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          72  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/9]
root          73  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/9]
root          74  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/9:0-cgroup_release]
root          75  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/9:0H]
root          76  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/10]
root          77  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/10]
root          78  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/10]
root          79  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/10]
root          80  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/10:0-memcg]
root          81  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/10:0H-kblockd]
root          82  0.0  0.0      0     0 ?        S    13:09   0:00 [rcu_exp_par_gp_kthread_worker/2]
root          83  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/11]
root          84  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/11]
root          85  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/11]
root          86  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/11]
root          87  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/11:0-events]
root          88  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/11:0H-kblockd]
root          89  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/12]
root          90  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/12]
root          91  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/12]
root          92  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/12]
root          93  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/12:0-events]
root          94  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/12:0H-kblockd]
root          95  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/13]
root          96  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/13]
root          97  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/13]
root          98  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/13]
root          99  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/13:0-cgroup_release]
root         100  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/13:0H-kblockd]
root         101  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/14]
root         102  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/14]
